Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,dox
Name,ABT-263 (Navitoclax),ABT-737,Roxadustat (FG-4592),Selumetinib (AZD6244),Bortezomib (PS-341),PD184352 (CI-1040),Gefitinib (ZD1839),Imatinib Mesylate (STI571),Lapatinib (GW-572016) Ditosylate,Lenalidomide (CC-5013),Panobinostat (LBH589),PD0325901,Perifosine (KRX-0401),Rapamycin (Sirolimus),Trichostatin A (TSA),"Vorinostat (SAHA, MK0683)",Y-27632 2HCl,"Olaparib (AZD2281, Ku-0059436)",Pictilisib (GDC-0941),SL-327,Crizotinib (PF-02341066),SB216763,"Refametinib (RDEA119, Bay 86-9766)",OSI-906 (Linsitinib),U0126-EtOH,GDC-0879,LY294002,OSU-03012 (AR-12),GSK690693,Palbociclib (PD-0332991) HCl,Docetaxel,Gemcitabine HCl,Paclitaxel,Cisplatin,PD98059,Regorafenib (BAY 73-4506),XAV-939,Doxorubicin (Adriamycin),"Fluorouracil (5-Fluoracil, 5-FU)",Methotrexate,Epirubicin HCl,Etoposide,KU-0063794,Vinblastine,CHIR-99021 (CT99021),"Vemurafenib (PLX4032, RG7204)",Camptothecin,Ifosfamide,Mercaptopurine (6-MP),Ruxolitinib (INCB018424),Tipifarnib,Pimasertib (AS-703026),BIX 02188,BIX 02189,AZD8055,PD318088,Fasudil (HA-1077) HCl,BIRB 796 (Doramapimod),Metformin HCl,Cyclophosphamide Monohydrate,AZD8330,RAF265 (CHIR-265),NVP-BHG712,Torkinib (PP242),SB590885,"BKM120 (NVP-BKM120, Buparlisib)",Honokiol,TAK-733,"Gedatolisib (PF-05212384, PKI-587)",ICG-001,Trametinib (GSK1120212),ZM 336372,PAC-1,PF-04691502,AZ 628,CPI-613,Lonafarnib,Dabrafenib (GSK2118436),Alpelisib (BYL719),GW5074,Niclosamide,Nifuroxazide,JNK-IN-8,QNZ (EVP4593),Tofacitinib (CP-690550) Citrate,VX-702,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",CZC24832,"Duvelisib (IPI-145, INK1197)",IPA-3,PF-3758309,SCH772984,Encorafenib (LGX818),(+)-JQ1,LGK-974,Erastin,FRAX597,SC75741,TAK-632,EHop-016,SH-4-54,JSH-23,Sorafenib,FTI 277 HCl,EHT 1864,JNK Inhibitor IX,FR 180204,XMD8-92,GDC-0623,GDC-0994,ML141,CCG-1423,Erlotinib,LY3009120,BI-847325,"Ulixertinib (BVD-523, VRT752271)",CEP-32496,AZD5363,"Cobimetinib (GDC-0973, RG7420)",Nutlin-3a,Deltarasin,Salirasib,ABT-199,LDE225,PIR3.5,Fl172,FRAX1036,FRAX716,SCH51344,Kobe2602,#N/A
10,78.397204,66.77193031,0.891293456,68.41447214,105.7663637,81.47635705,97.02657026,68.29189439,97.86990517,-20.80251652,106.1365485,93.04524498,-25.92626642,-7.274836167,104.8127089,100.6156467,-7.770050272,16.43905511,81.65041745,-12.44516561,101.4418208,21.79815429,94.852041,5.269770642,-0.589445749,-10.95462019,-13.19779299,91.03742145,-9.687166263,90.33627673,82.14318,93.88122523,84.58002565,-10.2730879,3.764515887,22.56058788,15.32604915,93.04769653,54.52396165,51.73654364,98.42640815,93.3762049,67.39952838,88.48290117,76.29770184,-1.121064547,94.89665619,-14.65136733,71.07008486,-0.242845742,56.30975455,95.61069759,26.88290959,85.54375621,97.5599785,56.50780983,-25.14308517,-29.86774598,-22.68303012,-36.73974298,83.98276789,18.21017314,66.08482499,90.42998844,108.2601756,109.1514243,31.73005196,99.50144144,102.8501393,66.75456456,85.11897975,1.169601121,58.6864179,97.48701077,29.85634477,-10.63553594,1.383292343,0.622343111,26.94024138,-8.068635275,92.10303435,64.23717771,89.95048618,56.75016695,-60.39171295,-59.62033976,62.04553968,20.38096324,58.16453811,30.81077559,103.1166921,105.0796813,19.37837435,87.06128756,57.94709014,94.82686078,100.5311464,70.57694456,72.26291097,102.4375396,95.84261086,-39.04959601,45.4214916,-8.523476189,60.28242172,59.14752206,-57.15437316,60.85136091,78.37826265,53.01727669,-47.1547455,44.42957143,27.77544029,89.13151134,101.8983878,62.21264475,29.2707674,6.170644525,95.17537327,-35.24872473,88.37193283,-46.66325353,-15.79159996,-6.214953271,-30.90274416,-0.650668355,94.2817515,98.74986037,7.502140969,-35.95468593,100
3.333333333,42.14851214,40.98892663,-11.79060043,28.1354239,102.9617849,24.33796524,-12.21962255,-21.51346746,-31.67025973,-16.65938861,104.5062645,79.77007479,-16.46816732,12.62198401,102.8171431,89.9513826,-37.60057121,-26.06845661,62.05513854,-51.09883291,31.58476175,4.563722809,85.85238268,-25.7203358,-31.82225614,-49.2479089,-11.20467879,-6.50749946,-46.9826721,14.40426448,86.85016556,95.51150928,90.00531681,-43.08715125,-51.78036519,-45.46761113,2.744669017,92.91286101,21.00875358,38.7800756,99.11774665,92.12346031,57.76982044,91.18451475,-21.4503966,-33.08875026,84.63165953,-25.41410818,61.72239686,-37.33130283,8.343893024,76.34982165,-9.061517664,10.93945958,83.11236705,13.74350538,-41.63639917,-48.20349528,-45.43332736,-41.959542,82.73449843,5.388699774,-41.19598677,59.41609525,-32.19750151,102.6729319,-19.25615258,94.53442351,90.53683405,29.1605453,85.45775852,-30.22997866,36.43386485,96.33255697,-15.4852843,-20.69987133,-20.20473313,16.9827516,3.843347395,-47.0985553,74.53865824,-39.50991091,11.98185579,37.80722185,-66.07277229,-73.73699041,6.17310292,12.88092252,-34.87042484,-31.64445024,81.68764196,98.89581859,26.54224225,81.69359943,-16.31585806,-0.281304688,40.96231895,62.16796366,16.01537774,-47.11602189,-64.57441263,-76.50128458,-59.692259,-49.52284321,-39.18661801,54.2326023,-71.9110474,-7.769855159,67.95863276,-14.03712254,-64.77994564,-31.11721339,-33.71169527,72.73950925,104.2694642,47.93256879,-74.74084969,-26.89633987,82.6855196,-47.93517519,-65.61101389,-72.5484976,-61.53014112,-45.32877834,-67.60379045,-58.36969877,70.97311688,92.61067878,-14.59116804,-69.26294821,
1.111111111,21.85944316,2.342614001,-20.9398036,5.252609757,99.0932311,-4.362388856,-22.29061039,-21.14573422,-35.73738943,-15.39438625,101.1182155,53.41340725,-33.68053481,5.757630082,96.48477661,61.12354765,-25.34769945,-16.5784873,36.84825028,-31.51581176,-6.193700423,3.931221625,19.99626138,-14.28138029,-14.2151883,-26.94121018,-27.67667667,16.412088,-14.54369667,30.23885807,94.37643933,93.41542978,89.76016131,-30.73376573,-49.90002252,-34.15858803,4.296503316,94.16070249,-4.234907998,48.03959874,101.0152502,84.05539288,37.70139141,93.14575873,-52.19066078,-46.8535922,84.33457661,-29.43254556,-11.83168559,-27.88979918,-7.151326612,29.31951073,-26.7561933,-11.73786993,71.29680603,-2.78629249,-41.00574947,-95.16605046,-46.92395394,-35.74164861,78.6456993,27.24253628,-60.24317149,47.26696744,-39.50991091,68.86541688,-12.65517859,89.450136,69.01395834,-11.55023861,79.15907943,-10.51566037,1.96964021,85.11897975,-11.50593677,-21.97941267,-12.88711175,19.72425363,-80.55947359,-26.57377396,52.15319967,-23.64464062,-11.29224555,50.12573904,-56.2273401,-46.0274932,-5.707607864,-0.344479372,-11.75242953,-45.85899393,30.6141788,87.93107942,-30.49167815,71.17567115,-40.0355587,-49.8713557,-24.32866664,37.27166102,-5.967717913,-31.34061883,-56.06713334,-60.0109841,-93.01243624,-56.89820159,-60.27013442,56.67814722,-110.8223182,-57.44033213,57.25900138,-17.03671296,-29.24656514,-26.68187065,-36.30319842,48.9423614,98.7826265,11.3596083,-65.08377704,-36.89001005,37.87336635,-52.68626429,-54.64627471,-76.12596344,-49.33518263,-60.13609115,-65.63186506,-73.0191384,-14.53159325,45.17127751,-77.50511971,-88.80943516,
0.37037037,2.678477033,3.597810149,-36.62240078,-34.95534339,97.31340219,-11.15564769,-14.72756329,-20.54265169,-3.918657406,-11.55034804,99.71592607,29.57693822,-9.304723687,19.55988459,87.34783122,2.381838881,-23.31290882,-14.69569308,18.70184035,-29.5374069,-1.927994766,7.527652774,-30.51557733,-23.23936217,-10.66043359,-19.4639675,-27.18146257,-5.610230339,-7.662181853,22.10459866,92.41029224,95.62182926,83.13360821,-18.61818104,-48.16187005,-26.39206186,-26.15671259,93.98173898,-15.66650885,50.92507895,93.55516841,49.69684991,22.41104303,92.2166194,-19.83207649,-25.09096536,88.66573285,-24.363894,-27.72822776,-50.481131,-29.43254556,3.395117025,-34.0686027,-11.5815105,51.55903383,-14.64094337,-26.37571868,-65.31442904,-16.97591088,-19.86334837,55.34553806,41.10379986,-29.78435428,12.62553545,-33.52134469,22.61429712,-49.50909654,57.73523136,12.08088343,-41.52955356,60.67218268,-44.91473525,-31.68151538,72.32096031,-49.53255045,-64.32936463,-70.44301839,-23.23028812,-44.55510856,-54.27805919,-21.6692998,-64.23033699,-59.03659788,33.82526834,-60.75915761,-57.7101487,-48.42500448,-6.546736811,-19.27970362,-42.13259113,5.214469226,24.87414827,-45.04579812,58.4445396,-94.26350672,-87.9247496,-52.5581785,-39.71385486,-38.6087426,-60.84503109,-47.8219831,-54.04754813,-52.90073351,-50.29731541,-49.66582269,57.44368321,-70.97870201,-99.0205533,26.57798712,-71.80977026,-46.463678,-71.09487285,-70.90721227,-8.860073724,78.68805153,-76.84979707,-89.9890159,-59.7905574,-42.95174442,-114.0274416,-96.68820047,-118.1291656,-75.46468332,-92.1068995,-94.63882787,-93.06009606,-93.13754328,-31.34359757,-93.39371486,-151.8455151,
0.12345679,6.627932098,-4.416323066,-14.99723434,-19.96408472,97.36243329,-18.33625222,-25.73994824,-19.41983952,-15.18600407,-10.79526911,93.40562356,4.340631306,-16.18378695,18.79990255,-14.1171261,-8.449131,-22.6387312,-27.13243147,8.917684445,-53.90096024,-23.06530176,6.46612947,-27.09075503,-22.5676361,-26.27683878,-22.64608586,-41.11119794,-48.95127075,-17.21344004,3.990058945,92.14797586,91.56205422,67.89719404,-37.68392408,-47.05867031,-40.67972426,-18.99081739,82.05247247,-31.74870949,42.72707911,84.74427983,20.0330347,-7.211095738,90.81923306,-22.65436422,-32.51022037,90.39871655,-37.56323599,-38.45969673,-32.90111895,-10.02052218,-1.23572813,-29.02079906,-13.87999414,40.23339903,-34.83997589,-22.69345408,-44.97988501,-39.62457449,-45.52193104,14.01713439,-34.87906575,-41.47222177,-12.36591364,-28.20251804,1.083603433,-24.50722348,24.34467482,1.320748571,-25.9587602,30.33063505,-16.34526117,-25.189993,41.10901184,-35.91364399,-46.81189635,-30.04755933,-27.13927391,-27.28520938,-33.96175709,-32.80209131,-24.0355392,-35.39244588,-67.70412235,-44.6254703,-39.01216672,-35.34032607,-9.439386289,-46.15091038,-32.85977585,-11.16263916,-19.80098298,-37.61682243,23.46222586,-44.28621961,-74.57404029,-56.49607179,-44.33387944,-48.20326172,-38.40916707,-63.72845068,-42.77897755,-143.2786611,-56.70458354,-55.80798302,-53.78839781,-62.15567636,-70.89231858,0.811892616,-46.15091038,-38.31086867,-63.5705775,-51.01519157,-57.91097293,-9.318799568,-58.59310422,-51.93860074,-46.4487843,-42.59131698,-67.32081022,-59.692259,-70.40976282,-62.98376587,-69.77231262,-49.49901329,-50.4105075,-61.69397178,-67.243363,-68.60762557,-60.90162714,
0.041152263,-20.39800995,-13.61210578,-46.39920202,-31.62858329,94.44998598,-40.48359986,-21.13347644,-29.3143154,-12.2441381,-35.76925965,86.31082346,-18.4784424,-18.1572887,5.267319087,-30.91518079,-24.84513068,-32.34198579,-30.59402709,-17.836135,-54.00392555,-44.00403281,9.471735869,-32.40817777,-17.68659015,-21.90081315,-23.39135858,-20.25091665,-29.58398644,-13.70281331,-13.42823916,84.34467637,87.25222057,69.59367009,-22.53331433,-26.09542371,-34.30813288,-11.76853644,67.10043868,-20.48871748,51.09423624,49.31440733,-13.16347122,-12.70257888,92.4397109,-18.24763425,-38.57957229,79.79233513,-19.17797287,-34.58198283,-31.9785983,-78.86036777,-19.58450739,-32.05417203,-35.53577536,12.13300324,-33.64643224,-42.28529081,-44.96946105,-27.10539603,-37.00816001,-20.31679072,-57.1342248,-76.38988876,-58.7551509,-39.49948695,2.688893594,-27.67871394,1.385898334,-27.98100884,-25.22908285,11.1818167,-16.17847778,-12.86886981,1.052331547,-30.64954314,-27.48326465,-24.57237324,-31.65806147,-30.13355701,-29.63060084,-22.42503705,-37.92807466,-28.51263091,-41.66767106,-53.77510302,-36.2680587,-36.13775917,-1.28524195,-50.36880515,-63.987601,-47.22325651,-81.88088766,-42.85940351,-37.92363257,-49.54369438,-69.72465279,-120.4138586,-72.15828276,-69.62039692,-72.0778568,-108.5137953,-68.38422013,-73.29020367,-70.8863611,-77.33533157,-70.63316826,-77.15958596,-78.36597535,-73.37956585,-75.34553375,-46.16580407,-63.88334512,-41.38790632,-36.40149682,-16.98011692,-41.48024724,-68.81613732,-52.60881707,-71.46721525,-49.17135198,-49.44837473,-41.58748185,-43.90196224,-42.89812712,-44.96239342,-41.60535428,-57.65480136,-60.16885728,-57.09479838,-78.14852739,
0.013717421,-32.31011558,-78.00955187,-47.23027916,-56.11226283,27.58137247,-22.24893396,-12.41084384,-25.55117851,-27.82867308,-22.18519353,68.36544104,-16.38481446,-29.60114733,8.665174283,-32.87887633,-37.40689837,-45.18813386,-36.46795281,-48.54431262,-41.05481217,-38.36055325,-6.634980319,-15.37722536,-40.9224282,-61.20659407,-23.51393632,-44.95768769,-87.15140037,-33.6535677,-15.30122716,76.61737509,73.1753919,38.47608278,-24.34011035,-31.04511321,-32.40082311,-36.87981405,16.34344447,-30.51067422,-24.35727124,8.792655141,-40.67727271,-25.46782564,73.75395888,-22.34685734,-21.15591967,36.29835334,-24.03293321,-31.4834601,-19.69656498,-22.80811766,-27.07673013,-25.34374644,-26.11772562,-1.58753685,-39.2362819,-52.67016304,-53.92364448,-40.97968956,-30.51142564,-58.15316709,-50.44985911,-67.91781357,-39.37961138,-31.43915827,-6.244441911,-8.668013095,-13.96077984,-8.946854081,-10.91177093,4.096128475,-39.83565972,-16.11072202,8.468980569,-28.14779224,-24.47073961,-16.28532339,-26.1229376,-24.90072805,-25.52355978,-49.04523022,-34.58198283,-66.18743587,-34.92336759,-48.17743538,-34.37350359,-45.20921218,-14.16665309,-0.388539301,-44.06877164,-27.82868526,-55.37010835,-45.71899319,-42.236847,-35.69553561,-66.5910191,-61.77439774,-70.96082958,-58.22969803,-55.73649328,-93.99244145,-78.13959117,-76.7306475,-75.79532338,-71.01444689,-109.1512455,-86.45027367,-103.959303,-49.36199129,-35.87128123,-32.42487992,-38.99895744,-60.93141453,-48.45347582,-34.83765871,-36.73809435,-64.18717653,-30.99210634,-36.59213613,-49.01645753,-41.34322523,-53.13903265,-69.37911904,-60.12119745,-52.81137134,-79.50385374,-49.91305805,-51.89391965,-85.57750307,-69.58465205,
0.004572474,-17.63265594,-15.9361799,-34.83766876,-24.94564443,-15.8160537,-37.78443784,-21.42030837,-13.2296632,-18.53973128,-17.69149326,-23.01872222,-35.39417173,-25.19325148,-2.359468442,-27.14223769,-56.95069463,-32.34934046,-49.84608831,-23.37664925,-73.86642396,-32.82739368,-1.967219646,-1.663226829,-1.087111409,-6.203506643,9.93998287,1.93320432,-5.041469585,-6.193700423,-0.204551618,50.00084272,9.805147346,19.35885709,-17.69149326,-15.79644126,-7.831339147,-20.5696188,5.304092411,-4.499675935,-7.662181853,7.89048291,-12.25394432,8.123380633,64.12179938,-18.96949362,-16.19671971,-15.19341336,-44.86000945,-14.33864847,-25.11181328,-20.77283906,-24.1710507,-21.96898871,-69.20517289,-26.85782693,-49.59509422,-36.24460479,-49.17292376,-33.74545988,-36.20290894,-40.76599834,-42.62146359,-46.89789403,-54.64289786,-31.00656384,9.813671678,3.374269101,-1.579718879,-6.945453361,4.085704513,-3.362216395,-3.054709513,-3.205856964,1.203478997,3.311725329,-2.069645097,3.535840513,-20.48096813,-25.15872111,-19.17536687,-18.36750981,-12.88450576,-17.48407903,-14.13277522,-31.49127808,-20.17867323,-28.82795576,37.73425412,-35.59425848,-57.33905499,-37.42022564,-88.78858398,-46.73474327,-31.89466433,-38.43299698,-42.19812339,-62.01269688,-53.26711844,-47.08027702,-56.6182001,-60.91354209,-86.04814387,-64.35696466,-64.056112,-66.07867595,-70.75231783,-68.07443125,-60.46970995,-60.06758015,-15.99117548,-14.30223033,-26.94102096,-27.78996165,-33.78318502,-21.95461146,-32.66317906,-42.13259113,-24.07845254,-26.01165432,-40.58364672,-35.65979074,-37.67043974,-37.72703578,-35.4363853,-38.68618982,-32.20743195,-33.50914101,-31.01295752,-27.14655397,-26.21420859,
IC50,2.31405,3.69,25,7.824,0.016785,5.786,8.03,7.698,9.744,25,0.012025,1.19355,25,25,0.2667,0.8,22.77,20.16,1.876,24.515,2.9595,25,2.3915,22.38,25,20.95,25,6.5235,15.8455,5.0985,0.0023625,0.007229,0.016906,25,19.125,25,21.955,0.02539,9.743,1.348625,0.04093,0.3544,1.859,0.00970455,6.793,20.005,0.02078,25,2.81,25,6.586,1.775,19.75,5.743,0.190345,7.495,20.65,25,25,25,0.48855,12.8032,14.16,1.19045,5.492,0.65355,17.815,0.2301,0.5037,3.9475,0.28225,25,4.353,0.1603,15.7135,25,14.639,25,11.3955,25,1.08375,13.849,4.142,3.5095,15.198,25,7.3495,25,7.2355,16.8865,0.8817,0.6912,13.1035,0.25785,19.495,14.179,2.9585,3.189,5.01,14.1895,14.327,25,17.191,19.045,15.6585,1.1479,25,13.8055,1.032,17.2485,25,18.06,16.294,0.9349,0.18704,7.046,25,25,1.3055,25,14.124,25,18.94,25,17.705,18.18,3.1735,0.7357,19.475,25,
