Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,dox
"Name","ABT-263 (Navitoclax)","ABT-737","Roxadustat (FG-4592)","Selumetinib (AZD6244)","Bortezomib (PS-341)","PD184352 (CI-1040)","Gefitinib (ZD1839)","Imatinib Mesylate (STI571)","Lapatinib (GW-572016) Ditosylate","Lenalidomide (CC-5013)","Panobinostat (LBH589)","PD0325901","Perifosine (KRX-0401)","Rapamycin (Sirolimus)","Trichostatin A (TSA)","Vorinostat (SAHA, MK0683)","Y-27632 2HCl","Olaparib (AZD2281, Ku-0059436)","Pictilisib (GDC-0941)","SL-327","Crizotinib (PF-02341066)","SB216763","Refametinib (RDEA119, Bay 86-9766)","OSI-906 (Linsitinib)","U0126-EtOH","GDC-0879","LY294002","OSU-03012 (AR-12)","GSK690693","Palbociclib (PD-0332991) HCl","Docetaxel","Gemcitabine HCl","Paclitaxel","Cisplatin","PD98059","Regorafenib (BAY 73-4506)","XAV-939","Doxorubicin (Adriamycin)","Fluorouracil (5-Fluoracil, 5-FU)","Methotrexate","Epirubicin HCl","Etoposide","KU-0063794","Vinblastine","CHIR-99021 (CT99021)","Vemurafenib (PLX4032, RG7204)","Camptothecin","Ifosfamide","Mercaptopurine (6-MP)","Ruxolitinib (INCB018424)","Tipifarnib","Pimasertib (AS-703026)","BIX 02188","BIX 02189","AZD8055","PD318088","Fasudil (HA-1077) HCl","BIRB 796 (Doramapimod)","Metformin HCl","Cyclophosphamide Monohydrate","AZD8330","RAF265 (CHIR-265)","NVP-BHG712","Torkinib (PP242)","SB590885","BKM120 (NVP-BKM120, Buparlisib)","Honokiol","TAK-733","Gedatolisib (PF-05212384, PKI-587)","ICG-001","Trametinib (GSK1120212)","ZM 336372","PAC-1","PF-04691502","AZ 628","CPI-613","Lonafarnib","Dabrafenib (GSK2118436)","Alpelisib (BYL719)","GW5074","Niclosamide","Nifuroxazide","JNK-IN-8","QNZ (EVP4593)","Tofacitinib (CP-690550) Citrate","VX-702","Binimetinib (MEK162, ARRY-162, ARRY-438162)","CZC24832","Duvelisib (IPI-145, INK1197)","IPA-3","PF-3758309","SCH772984","Encorafenib (LGX818)","(+)-JQ1","LGK-974","Erastin","FRAX597","SC75741","TAK-632","EHop-016","SH-4-54","JSH-23","Sorafenib","FTI 277 HCl","EHT 1864","JNK Inhibitor IX","FR 180204","XMD8-92","GDC-0623","GDC-0994","ML141","CCG-1423","Erlotinib","LY3009120","BI-847325","Ulixertinib (BVD-523, VRT752271)","CEP-32496","AZD5363","Cobimetinib (GDC-0973, RG7420)","Nutlin-3a","Deltarasin","Salirasib","ABT-199","LDE225","PIR3.5","Fl172","FRAX1036","FRAX716","SCH51344","Kobe2602","#N/A"
10,-1.071091341,39.42207807,16.0058519,26.55763482,130.5365723,53.95941767,15.45686524,33.508584,42.65980253,18.37038498,134.937111,17.0368229,-5.402466387,21.46545936,114.987714,78.14725108,-0.673400219,21.42223207,62.66971779,0.690420966,86.72570795,6.070057938,64.84621214,56.07107108,36.59933565,11.92951789,55.60853901,132.3758938,45.46525403,37.12238593,55.39024117,95.35603757,56.81025784,32.8083018,55.97597103,48.45226018,32.92933823,97.41581822,66.30513338,114.1015544,96.29839262,53.84702671,56.97452156,73.80290785,-5.413247535,12.42293245,113.895034,13.22710472,115.0341109,32.71574842,32.30664332,28.98968338,12.4289487,55.81614837,77.99606186,4.074380921,-17.52596702,11.0833138,-9.01898754,13.75252401,14.35414915,14.18769952,59.99543768,62.9012871,35.4992674,96.39576406,16.01463453,55.00595985,97.19191466,80.72142375,51.74916243,57.5989642,69.74377036,65.21353306,52.28861963,28.78112,43.30836171,28.93754254,40.04554804,23.3504504,100.7715842,38.48132267,89.12412153,65.46621561,2.111077548,22.02085884,22.22942223,17.95988915,34.10542348,18.12022848,108.2738973,45.25316985,-10.91402721,78.51469382,27.994056,119.0352599,102.3518962,44.93947212,76.13709452,85.80816618,108.6086358,-3.440752492,35.39273187,-11.03262026,12.79119255,60.16337627,-3.997374694,28.58319565,10.30073858,97.49340685,26.10039284,62.09338246,27.41448031,79.51317076,128.6719013,44.84765815,52.86607832,27.8008641,61.61135911,8.598354521,121.6290046,2.333963757,-14.69944075,-2.520699986,6.310656398,25.64323577,56.72226513,126.1604067,7.465982206,1.586062448,100
3.333333333,-16.29358358,-5.344109538,2.365478682,3.134924548,130.5646701,21.54759123,24.07422667,12.34882266,16.7363932,18.7745602,117.2268879,26.12320049,3.173829114,22.06631878,92.85101577,51.50626863,-12.08972906,14.18598274,26.51440752,-5.019904819,7.107513039,-11.53858104,14.20759639,13.64348018,16.68235908,-3.009835561,31.16350319,67.53927267,32.70887902,16.39057483,62.60919958,85.38998451,74.76255381,16.2327952,36.6576925,22.01876875,37.08996546,101.319243,57.65535147,113.5266314,108.6203333,11.20978342,51.90395976,57.35059904,13.00049258,12.48510038,119.4680882,8.851284532,104.3813351,15.81409282,35.47119156,28.80317959,11.16353049,12.21035823,81.03827965,-2.900459867,-12.17551411,24.28497479,4.962780711,-13.80792365,26.58518824,22.95538323,8.81117619,46.70553834,-17.04466691,78.62977368,5.002889054,34.01124788,82.66667836,60.11776812,38.34495431,24.34313189,39.78885464,56.29744848,39.34164662,9.922177281,46.14402154,21.85440922,28.26973863,2.804951876,102.4902267,12.49512746,34.6449597,45.57648849,2.514166392,11.61474934,2.85107647,4.256873881,19.8513044,-6.000066948,100.714547,26.25150333,-1.95833941,65.56127268,3.380260474,81.78939214,60.32213793,25.15547405,65.54214476,-3.132793129,2.737562674,3.410865131,-9.96145726,8.464459146,6.547842491,49.79222307,-9.485172283,19.30424616,-5.089578397,-5.347805192,5.379127146,-2.097973159,3.676743091,74.77901286,82.2044678,33.12416166,16.37576302,17.53491441,19.6370718,-10.9178528,-12.84020782,-5.340154028,-25.36325098,4.661830493,-6.549037986,-19.57897077,3.956010587,23.6233284,-11.17225401,-6.042148351,
1.111111111,-9.828941485,3.21705641,15.11104687,24.02451528,126.6504384,4.438227519,7.531140539,12.26236807,-6.826805787,11.95761564,100.8459041,24.08503349,1.38638043,0.377023071,40.60650598,14.39131239,-13.1552819,-4.038645203,30.94952808,-0.81821166,-0.066056712,-1.393134695,10.10100328,22.79469871,27.0374578,2.581615161,32.75642905,67.26910207,33.18221791,31.59793752,75.51470876,85.48724592,82.02473952,21.2666138,10.20474879,10.94609691,22.47481672,106.4697753,30.92143034,116.6865467,96.03038339,7.900733918,30.48483465,73.97581703,18.68986099,8.686840327,112.9404554,13.5880798,55.53739539,22.58237564,46.338547,25.85120557,10.99307003,19.13907442,69.85005747,19.29750238,5.442075406,7.960879325,-15.25182399,0.861702674,9.242340873,20.12172882,-5.92061807,12.6635825,-42.04219147,26.44280362,14.28797038,33.77460866,61.742156,44.73421329,31.2036639,26.53505281,24.86052951,73.75861546,26.42274945,16.30542002,37.99200089,26.24627274,29.64344937,16.48791297,52.1442296,16.0928458,11.33399094,45.01296628,-8.984895449,19.26942654,-5.455361295,2.171240062,16.93238523,3.680568673,64.75981322,33.30013844,10.51114559,69.15923268,5.954877259,6.52871458,37.53123229,15.23956513,46.63229222,-4.211607294,-10.55824807,-57.85583294,-14.68987679,14.20091957,1.058132112,39.40002917,-7.379189311,-2.302641804,-19.74729639,2.182853263,4.975528229,-1.015333411,18.81265885,67.56205214,62.66530699,13.26939032,14.57008825,13.98477418,26.24767775,4.332830429,0.183986591,-5.793485512,-25.36516377,-0.445321672,0.866853004,-0.90630432,5.097946858,24.33297389,-11.65236457,-11.83407972,
0.37037037,-31.88134648,-25.71064999,-3.12222653,-20.49527674,128.638894,7.139933511,9.794089478,-8.832552315,6.78330832,-3.777120062,95.2004193,1.356121323,6.063573844,-6.096264486,19.89198579,-35.86041906,-7.084008197,-30.34245474,-7.239626462,-35.02180952,-0.504813765,-23.95778314,10.39278753,22.90492832,12.88267977,-5.01125936,24.29684724,52.45078505,22.40997578,8.938189019,79.41381085,79.5823973,75.91456125,14.50586473,18.39199863,8.847411698,27.00287597,82.76608765,7.613272401,115.059039,61.47448306,-10.87288068,10.11397147,55.13520012,0.586960527,-7.643271387,84.04239452,16.04672121,25.17738541,14.70509714,40.78955779,23.28627706,7.056436198,0.342299637,56.93517113,15.10417515,4.866520689,14.09946117,0.767448069,0.304196711,5.907332181,0.308207546,-38.73124778,-12.82326384,-27.09982841,-3.437911659,11.3059151,16.11289997,27.36329009,14.20374286,30.79255338,14.96580137,17.71322284,56.15305845,28.11933235,4.796331089,34.64696511,3.482782867,22.5302348,2.636496837,16.18910582,13.18900179,11.88146982,22.83104737,9.541148026,4.639908553,-3.482030836,-6.267555234,1.540155462,-4.450706179,60.82711477,4.598708388,-8.542166284,46.94216437,-2.520699986,-1.889478932,11.0448143,-6.107183248,-44.20233026,-13.79660336,-18.81576714,-7.817218467,-31.59129871,-2.847787259,-5.231124936,14.83596621,-8.622503509,-33.59972934,-0.487403075,3.120120888,7.232621695,-1.415106746,15.44232098,39.69842458,49.9356824,11.69516327,3.514155849,10.8535352,15.32181514,-6.411317028,-4.422014312,4.036347812,-5.741840153,-0.116321607,0.132341232,1.664486882,6.281964532,20.53034523,-7.428921879,-8.486695343,
0.12345679,-18.65811667,-3.292974349,10.29768747,23.26371487,125.0575126,22.62611226,-21.32091809,3.632038451,-30.03770231,8.56427291,72.53202535,31.42935106,-26.68974824,32.66349036,-31.71924412,-4.423368136,-2.508398929,-3.349169833,-35.05639136,-5.689927905,-30.43539343,-12.19563593,14.06062358,6.394262657,-17.4283001,-4.968032064,1.894301156,6.884892465,13.32792092,2.380608235,62.83182015,75.34828367,72.0435569,4.126990988,2.907981245,-11.52993558,7.077253932,25.93083903,4.252350147,116.6735785,16.61535677,-13.3087388,-0.45294101,41.98545672,12.62748499,-25.61381432,85.51035986,-5.280890004,14.41631708,17.93181331,31.01916552,-3.782843406,5.903321347,-27.79169732,-20.80883487,-18.45046432,-21.03344158,-15.31599734,5.694757965,-32.06724665,8.94353372,-63.27755349,-27.90801152,-25.02021084,-50.38472674,-19.60157375,-2.591625629,3.143867372,33.97113954,14.12553159,14.29599205,20.08763673,12.77388044,33.49385026,14.7111134,9.815890173,25.70882095,11.11138964,14.04932574,1.888476246,8.20955105,7.273021249,-11.82657153,9.866025602,-3.740729646,-1.554824971,-11.4375206,-16.22645672,6.8672786,2.234498622,56.96136401,-5.39753776,-9.892596781,43.48957648,-6.723101973,-3.938078171,3.644225642,7.38373219,-20.29626743,-29.95012397,-18.78516248,-4.531043404,-43.33009753,-0.273170475,-36.94902651,-3.951467709,-19.97491853,-11.56820176,-22.40990156,13.14697169,-11.27363194,-2.570432554,1.792643884,16.02572226,15.29121049,8.803023166,-7.60872424,-8.389142998,4.415080445,-17.6661797,-9.205904786,-11.61602154,-10.82030045,-6.216212339,-4.36463058,-10.3172364,-10.2961957,-0.613647286,-23.46958782,-65.95459034,
0.041152263,5.957666969,-2.38303977,13.71048248,27.45892394,122.9199228,22.18303248,22.76011688,24.4222064,15.50441526,10.46411256,64.49174831,34.01218199,13.74938705,28.11165611,12.85458203,6.193255731,11.74796325,-3.627985892,7.615433766,-1.103511813,-1.996155472,-1.120802731,6.039798831,1.807846565,-0.915473075,-4.585470495,12.45905227,14.36321465,16.13121105,0.593159551,78.32016027,78.68326955,69.64011925,11.57073134,1.520385047,-4.834027447,-1.974541824,11.17087885,4.304222902,0.402959449,2.869076678,-3.759829144,-6.794385315,59.61570934,3.717416672,2.139153388,49.56726858,15.18439184,11.08732464,21.83636047,39.7607788,29.33260971,17.84357496,17.14970063,29.92420777,20.09966923,22.35175267,13.54396062,8.241637724,14.81338967,26.12995855,9.813884756,0.442570494,-6.006851006,-5.46538838,2.133137137,3.528907461,6.236220591,35.3829532,19.60232578,21.06026404,8.720932419,-0.985286505,20.56893684,13.1669422,13.17897471,20.67321853,1.786199973,8.267708147,7.790418869,10.56190535,4.250857629,-1.115638619,4.918661534,4.437361423,4.74017941,-5.461377546,-6.660616992,16.08693157,10.73302936,64.5914876,11.8596633,-1.403629999,23.52195047,5.310266667,4.592970015,11.82523306,7.246011233,-0.781972901,-6.250642578,7.070034454,-31.06719396,2.033655559,6.123202873,2.200068382,3.060824365,0.057742381,-38.63036986,3.64040006,-7.291200922,-0.40706585,3.144987172,9.070813917,-3.421624581,18.40332156,8.326738189,-23.9018786,4.883714258,5.996958662,-8.021887112,-2.337072043,-11.00966677,-5.332502863,-3.341287356,-8.718143062,1.039004201,-14.78934193,-0.294211177,-5.36310752,-6.348194923,
0.013717421,-11.80875164,-111.0564616,21.68591857,21.79830954,103.5649011,28.82706785,14.98568771,28.46611993,11.80848147,27.53889443,34.93292339,25.78818895,5.760982773,28.16352886,0.861168785,8.873348076,8.977093586,6.353196726,-6.662542062,-50.74141567,-15.10051022,-12.13295636,7.349585896,-2.562433048,-3.712279119,-1.782180358,1.399348619,-8.274920198,-3.238940229,6.020346548,75.04785397,58.90462032,61.13298742,4.066472774,-3.502626734,-13.11637734,-15.68191735,0.623418658,-3.238940229,-13.42977523,-20.64873364,-17.34184551,-15.65814233,36.41778101,-1.566857474,15.22249476,42.00283516,27.15272129,20.08964215,23.8879022,14.5827667,29.56924893,9.144075434,15.61756194,20.09164756,30.49775707,-13.18423893,15.45111232,12.89019464,16.75663887,10.51377534,16.21517624,-4.201975587,3.645221655,-12.36402332,-3.526150013,-2.545501035,5.969500112,4.90061278,-0.965232334,-3.155147843,0.825605166,5.706790468,1.120401485,4.32706348,13.92097904,17.27804733,5.797034239,5.353837052,5.853185918,-8.864570421,-2.800189011,-0.979270254,-0.700517272,-8.495573668,1.250753598,-5.405225866,-5.016174943,4.604446761,18.81265885,47.6422459,25.84981721,3.508417476,33.72477806,-15.56402231,12.8447507,-5.577340121,-1.920083589,-12.34670773,0.843899512,-1.153054369,9.093767409,-20.64056982,-1.631252137,-25.10884977,-7.258683474,-7.960677798,-9.999713081,-16.9163656,3.340091862,-7.849735915,-4.940380693,0.874504169,-7.734968451,11.62247721,5.371475981,-3.637769973,2.479335879,3.829766376,-0.58495542,-9.928939812,2.884847586,-0.303775132,-6.187520473,-7.897555692,-30.65976946,-7.800003347,-26.27565232,-13.1022602,-5.938857633,
IC50,16.294,18.75,18.04,25,0.002813,17.55,25,25,10.91,25,0.0236,25,25,18.04,1.0085,5.1155,25,16.803,5.9725,25,7.701,25,9.3545,12.01,24.1,18.56,10.6875,0.7294,20.145,15.208,0.001,0.016245,0.001,25,8.584,10.415,22.205,0.23725,7.5505,0.06613,0.35435,10.397,4.83,0.1428,25,25,0.015635,25,0.6915,17.84,22.39,25,25,8.1055,0.40815,25,25,25,25,25,25,15.2395,16.778,4.16,25,1.868,25,9.4635,0.41055,1.799,11.758,12.92,4.92,0.7038,5.2815,25,7.733,17.845,25,25,0.95275,25,6.5065,6.8745,25,25,20.88,25,21.37,17.75,0.05232,19.265,22.705,0.43285,19.82,6.231,2.549,11.067,2.505,7.814,4.658,25,25,25,25,3.7675,25,17.81,23.61,8.7095,23.755,17.3235,25,0.66675,0.3292,21.14,8.3415,25,7.2135,25,5.1115,25,25,25,25,25,17.0785,3.676,25,25,
HillSlope,,,-0.2977,-0.1697,18.07,0.07915,-0.09712,0.02056,1.542,-0.1541,0.8346,-0.08141,0.000001244,-0.1951,2.263,1.78,-0.6797,1.372,1.133,,4.049,,1.916,0.5941,0.6295,10.4,0.4581,1.099,0.3638,0.4661,0.000001055,0.5796,0.0722,0.345,0.7774,1.04,0.4803,2.314,0.8526,21.45,2.097,1.918,0.8124,0.2956,0.000003817,-0.00000616,0.7985,0.000002944,1.594,,-6.79E-07,0.03979,-0.09446,1.448,0.6278,9.32E-07,,-0.00002072,-0.8437,-0.9406,-0.04151,-0.000002502,2.652,1.296,,2.279,0.3422,0.5727,0.6424,0.7352,0.3389,0.4893,0.7109,0.429,0.4392,0.1673,0.239,0.4036,0.3281,0.4062,2.074,0.5136,2.076,0.5717,,0.4612,2.42,1.579,0.2803,0.000007317,0.3373,0.3277,,0.3419,-0.000001965,3.999,1.313,0.859,1.682,11.91,20.76,-1.864,,0.000004518,1.316,0.7272,,1.352,,18.12,1.309,13.71,0.3079,0.8928,0.9304,0.4953,1.255,0.5601,0.7002,,85.8,,,,,17.3,3.058,13.21,,,
